2025-12-30 13:27:50,230 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:50,379 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:50,396 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:50,545 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:50,562 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:50,714 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:50,732 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:50,879 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:50,896 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:51,029 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:51,047 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:51,196 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:51,213 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:51,361 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:51,377 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:51,509 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:51,526 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:51,663 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:51,679 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:51,847 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:51,863 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:51,997 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:52,013 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:52,163 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:52,181 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:52,330 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:52,345 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:52,480 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:52,498 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:52,645 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:52,662 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:52,819 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:52,836 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:52,980 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:52,998 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:53,141 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:53,157 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:53,297 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:53,315 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:53,465 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:53,481 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:53,628 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:53,644 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:53,775 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:53,790 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:53,932 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:53,949 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:54,094 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:54,108 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:54,244 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:54,264 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:54,415 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:54,433 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:54,579 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:54,595 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:54,730 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:54,748 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:54,897 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:54,916 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:55,063 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:55,080 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:55,229 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:55,247 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:55,395 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:55,415 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:55,560 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:55,579 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:55,736 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:55,755 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:55,896 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:55,915 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:56,060 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:56,077 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:56,229 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:56,248 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:56,396 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:56,414 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:56,561 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:56,578 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:56,711 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:56,730 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:56,881 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:56,899 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:57,031 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:57,046 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:57,195 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:57,213 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:57,364 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:57,381 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:57,535 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:57,553 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:57,695 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:57,712 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:57,862 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:57,879 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:58,013 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:58,032 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:58,178 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:58,198 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:58,329 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:58,352 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:58,510 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:58,528 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:58,660 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:58,677 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:58,808 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:58,825 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:58,958 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:58,976 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:59,113 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:59,128 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:59,263 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:59,281 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:59,430 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:59,445 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:59,613 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:59,632 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:59,780 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:59,799 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:59,946 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:27:59,968 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:00,133 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:00,185 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:00,328 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:00,344 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:00,493 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:00,509 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:00,646 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:00,663 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:00,830 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:00,854 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:00,998 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:01,015 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:01,161 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:01,178 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:01,328 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:01,345 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:01,493 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:01,510 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:01,658 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:01,673 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:01,814 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:01,832 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:01,981 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:02,001 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:02,148 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:02,167 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:02,315 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:02,333 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:02,480 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:02,498 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:02,649 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:02,668 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:02,819 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:02,837 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:02,986 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:03,001 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:03,144 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:03,162 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:03,313 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:03,330 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:03,478 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:03,495 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:03,647 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:03,673 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:03,820 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:03,839 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:03,985 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:04,003 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:04,151 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:04,166 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:04,318 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:04,334 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:04,480 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:04,497 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:04,657 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:04,675 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:04,820 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:04,837 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:04,987 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:05,005 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:28:43,993 | DELETED | sensitive\new folder
